model_family,model_name,input_features,feature_selection,inference_type,result_role,legacy_warning,n_subjects,n_positive,n_negative,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,source_file,model,status,skip_reason,contrast,model_key,interpretation,reproduce_command,availability,row_type,ablation_name,ablation_description,n_input_columns,explainability_alignment,label_definition,threshold_type,residual_threshold,margin,n_excluded_near_threshold
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.3333333333333333,0.6055555555555556,0.5838888888888889,eeg_clinical_incremental_model_comparison.csv,eeg_only_knn_selectk100,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.2080008975512415,0.7111111111111112,0.7754058441558441,eeg_clinical_incremental_model_comparison.csv,eeg_only_logistic_l1_none,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.4736842105263157,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.3068675593658492,0.4444444444444444,0.5495546038928392,eeg_clinical_incremental_model_comparison.csv,eeg_only_logistic_l1_selectk100,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.2214181508049306,0.7777777777777778,0.8397209653092005,eeg_clinical_incremental_model_comparison.csv,eeg_only_logistic_l2_none,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2071648198306706,0.7666666666666666,0.7934371184371183,eeg_clinical_incremental_model_comparison.csv,eeg_only_logistic_l2_selectk100,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.2709644736842104,0.3777777777777777,0.5090115418637091,eeg_clinical_incremental_model_comparison.csv,eeg_only_random_forest_none,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.2874486842105263,0.3166666666666667,0.4447394220846233,eeg_clinical_incremental_model_comparison.csv,eeg_only_random_forest_selectk100,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.2507348722963763,0.6666666666666667,0.6665509928667823,eeg_clinical_incremental_model_comparison.csv,eeg_only_svm_linear_none,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2161673558607981,0.6777777777777778,0.6742307692307692,eeg_clinical_incremental_model_comparison.csv,eeg_only_svm_linear_selectk100,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,none,,,,19.0,10.0,9.0,0.2105263157894736,0.2,0.4,0.0,0.3076923076923077,0.3478260869565217,0.3086499585572395,0.1444444444444444,0.3938633128996905,eeg_clinical_incremental_model_comparison.csv,eeg_only_svm_rbf_none,reference,,,,,,,,,,,,,,,,
eeg_only,,PSD+WPLI EO+EC,selectk100,,,,19.0,10.0,9.0,0.6842105263157895,0.6944444444444444,0.5,0.8888888888888888,0.8333333333333334,0.625,0.2186767559889566,0.7777777777777778,0.7713383838383838,eeg_clinical_incremental_model_comparison.csv,eeg_only_svm_rbf_selectk100,reference,,,,,,,,,,,,,,,,
eeg_clinical,,PSD+WPLI EO+EC + baseline clinical,selectk100,,,,19.0,10.0,9.0,0.8947368421052632,0.8944444444444444,0.9,0.8888888888888888,0.9,0.9,0.1111323219779437,0.8999999999999999,0.8480122655122654,eeg_clinical_incremental_model_comparison.csv,eeg_clinical_logistic_l1_selectk100,trained,,,,,,,,,,,,,,,,
eeg_clinical,,PSD+WPLI EO+EC + baseline clinical,selectk100,,,,19.0,10.0,9.0,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.1812561645282963,0.8,0.8217199467199466,eeg_clinical_incremental_model_comparison.csv,eeg_clinical_logistic_l2_selectk100,trained,,,,,,,,,,,,,,,,
eeg_clinical,,PSD+WPLI EO+EC + baseline clinical,selectk100,,,,19.0,10.0,9.0,0.631578947368421,0.6444444444444444,0.4,0.8888888888888888,0.8,0.5333333333333333,0.2103099547744231,0.788888888888889,0.775108225108225,eeg_clinical_incremental_model_comparison.csv,eeg_clinical_svm_rbf_selectk100,trained,,,,,,,,,,,,,,,,
,,,,,,,,,,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,,,0.2080008975512415,0.7111111111111112,0.7754058441558441,core_ablation_10seed_summary.csv,,,,a_ml_psd_wpli_baseline,ML PSD+WPLI Logistic L1,"Traditional PSD+WPLI baseline; no CNN, no SSL, no residual-aware objectives.",python -B scripts/04_train_ml_baselines.py --feature-set psd-fc-wpli --disable-selector --output-tag updated_sub05_sub28_psdfcwpli_no_selector,available,reported,,,,,,,,,
,,,,,,,,,,0.7947368421052631,0.7861111111111111,0.95,0.6222222222222223,,,0.1890881282584349,0.8055555555555557,0.7840052023140258,core_ablation_10seed_summary.csv,,,,b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,,,,,,,,,
,,,,,,,,,,0.072356458341408,0.0729556773952344,0.0670820393249936,0.0888888888888888,,,0.0385329986709039,0.0766988660240991,0.0925339323089245,core_ablation_10seed_summary.csv,,,,b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,std,,,,,,,,,
,,,,,,,,,,0.631578947368421,0.6222222222222222,0.8,0.4444444444444444,,,0.1353494817401182,0.6888888888888889,0.625465367965368,core_ablation_10seed_summary.csv,,,,b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,min,,,,,,,,,
