feature_id,k,n_selected,n_seeds,selection_frequency,feature_family,stability_metric,seed_a,seed_b,spearman_corr,jaccard_similarity,mean_abs_attribution,bootstrap_ci_low,bootstrap_ci_high,n_subjects,validation_source,group_name,delta_probability
EO|FC5|Delta,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FT7|Delta,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P1|Delta,50.0,8.0,10.0,0.8,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Beta Medium,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Theta,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F3|Delta,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Beta Medium,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP2|Delta,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|OZ|Delta,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P1|Theta,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Theta,50.0,7.0,10.0,0.7,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C5|Beta Low,50.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F3|Beta High,50.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP2|Beta High,50.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|OZ|Beta High,50.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|PZ|Beta Low,50.0,6.0,10.0,0.6,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF4|Beta High,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP3|Delta,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F7|Beta High,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F7|Theta,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Delta,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Beta Low,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC5|Theta,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Beta High,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP2|Beta Medium,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FT7|Theta,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P7|Beta High,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|POZ|Beta Low,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|TP7|Beta Low,50.0,5.0,10.0,0.5,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF3|Delta,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C4|Beta High,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP5|Theta,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F2|Delta,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F4|Beta High,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Delta,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|O1|Beta High,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P2|Beta Low,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P3|Beta High,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P7|Delta,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|POZ|Beta High,50.0,4.0,10.0,0.4,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP1|Theta,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP5|Beta Low,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F2|Beta Medium,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC3|Beta Low,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|O2|Delta,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P8|Beta High,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|POZ|Delta,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T8|Beta High,50.0,3.0,10.0,0.3,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|TP8|Delta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF4|Beta Medium,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|AF4|Delta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C3|Theta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|C4|Beta Low,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP4|Beta Low,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP5|Beta Medium,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|CP5|Delta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|F5|Beta Low,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC3|Beta Medium,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC4|Beta Low,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FC6|Delta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FCZ|Beta High,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FP1|Beta Medium,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|FZ|Beta High,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P3|Delta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|P7|Beta Low,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Beta High,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|T7|Beta Medium,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|TP7|Beta Medium,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EO|TP7|Theta,50.0,2.0,10.0,0.2,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C4|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
EC|C6|Beta High,50.0,1.0,10.0,0.1,PSD,topk_selection_frequency,,,,,,,,,topk_selection_stability,,
