state,channel,channel_index,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,TP8,40,Gamma,-9.570858847154673e-05,0.0001542879097689496,0.0007495825826904148,5890,3.277699810841983e-05,0.0002893000338362049,0.0001815615804348636
EC,TP8,40,Theta,-0.00011621230190566697,0.00015759941568734343,0.0009055074722875595,1520,2.3215611436134712e-05,0.00030691475374424197,0.00018506026802663753
EO,AF3,3,Alpha,8.028166068552893e-06,0.00036336272832848476,0.00048122263093074456,1900,0.0004184284925065267,0.00030217854590843814,0.000387529960407629
EO,AF3,3,Beta High,-4.5979517917911305e-05,0.0005945203631467453,0.0010942956564724627,3420,0.000489445847866908,0.0007112698245687865,0.0006511418238960693
EO,AF3,3,Beta Low,-0.00014040371346902484,0.0004922185941822328,0.0005837193995911402,1900,0.0006230014118485353,0.0003469043523307855,0.0005240858306815297
EO,AF3,3,Beta Medium,-7.120697519809302e-05,0.0004974310066559489,0.0005978212729075736,1140,0.0005513998014030201,0.0004374656791592032,0.0005257680412003675
EO,AF3,3,Delta,-0.00026928874393632033,0.0006035091514131188,0.001354713279326446,1330,0.0003731072326412565,0.000859511283381855,0.0005643622670626138
EO,AF3,3,Gamma,-5.486513013270808e-05,0.0005663446614420273,0.0010584331171792525,5890,0.00044481983225087054,0.0007013722494322016,0.0006183725583107076
EO,AF3,3,Theta,-0.0001488139465276671,0.0004510320149363942,0.0006522542155480978,1520,0.0003909875066471698,0.0005177481352577546,0.0004739627754769413
EO,AF4,4,Alpha,-6.3797794285343006e-06,0.00038502908684060703,0.0005588052957345784,1900,0.00043928833474883973,0.0003247410336092374,0.0004093840081087566
EO,AF4,4,Beta High,-0.0003033787879798396,0.000718929455615111,0.0014594131950691263,3420,0.00041492646336251283,0.0010567105581179978,0.0008107487965677242
EO,AF4,4,Beta Low,-0.00014660967389643273,0.00043674217427779695,0.0004979084953788542,1900,0.0005124165062281501,0.00035265958322184887,0.0004670560039251025
EO,AF4,4,Beta Medium,-0.00019799077854213996,0.0006075952002199374,0.0008730996792160339,1140,0.000540910061397383,0.0006816897989116643,0.0006704913174717852
EO,AF4,4,Delta,-9.683889663551582e-05,0.0006451792736479902,0.0014083472362903051,1330,0.0005240300297666101,0.0007797895446273014,0.000644096733063538
EO,AF4,4,Gamma,-0.00025116914665370804,0.0007139956353580954,0.0011480873313938747,5890,0.00042162421390477085,0.0010388527703062338,0.0007727122411179113
EO,AF4,4,Theta,-0.00018938794556115212,0.0005543674478428989,0.0007445771126100499,1520,0.00040545480191507425,0.0007198259433182594,0.0005879942713975024
EO,C1,26,Alpha,-6.972553922977585e-05,0.0003402362004368663,0.0004248390898248586,1900,0.0003657188580016183,0.00031192213647603074,0.00034177349838796487
EO,C1,26,Beta High,-6.28328218793427e-05,0.00035652830587821354,0.00044805864013840646,3420,0.00043017400692294965,0.0002746997491618401,0.0003794788558040686
EO,C1,26,Beta Low,-0.00016011089983791364,0.00040478340450026063,0.0005105820269306674,1900,0.00045600210381469935,0.0003478737385953287,0.0004401490209548874
EO,C1,26,Beta Medium,-0.00010947739669987421,0.0003586061964635377,0.0004494577156331115,1140,0.0003927525583291065,0.0003206657943906835,0.0003948928445687716
EO,C1,26,Delta,-0.00011127431804010362,0.0003612981409219266,0.0004942350965093828,1330,0.0003306647957866722,0.00039533519107220924,0.0003718842894044181
EO,C1,26,Gamma,-1.7139164978037474e-05,0.0003093482832511538,0.0004425526900574936,5890,0.0003898747002724243,0.00021987448656085332,0.0003199351280655094
EO,C1,26,Theta,-0.00012564784481801806,0.0004910535408887949,0.0008972352594848878,1520,0.0003614617663394522,0.0006350444014991757,0.0005461942936981449
EO,C2,28,Alpha,-4.153028596810605e-05,0.0003829491889459229,0.0007402142427628943,1900,0.0003355964719532577,0.0004355633189377732,0.00033242588038524606
EO,C2,28,Beta High,2.004497072247471e-05,0.0003201044575289713,0.0004156691036772946,3420,0.00031772727758679796,0.00032274576857583057,0.0003455769171835984
EO,C2,28,Beta Low,-9.603724180805274e-05,0.0003644394446574958,0.00041286765867935333,1900,0.000373948887375055,0.0003538733971935412,0.0003973312416573151
EO,C2,28,Beta Medium,-6.217140995449808e-05,0.00032851862774204094,0.00038436463141959466,1140,0.0003132102435617988,0.0003455279434978656,0.0003540043776301409
EO,C2,28,Delta,-8.289438339636009e-05,0.00036416442950402625,0.0006796256954178839,1330,0.00030662145499869473,0.0004281010678432835,0.00034889006585261473
EO,C2,28,Gamma,0.00010760489408113677,0.0003236200880308478,0.00039501541363525086,5890,0.0003758102602062625,0.00026563100783594257,0.0003394316956596003
EO,C2,28,Theta,-2.415080976859463e-05,0.0003719174751227936,0.00048050154747616877,1520,0.0003494253576254969,0.00039690871678645654,0.0003958114626975134
EO,C3,25,Alpha,-0.00017246801065113886,0.0004193591661003999,0.0011382024284370352,1900,0.0004666438166240638,0.000366820665518551,0.000420865004372611
EO,C3,25,Beta High,-7.81549007613073e-05,0.00039415976915982724,0.0005135936538896108,3420,0.000512926566734937,0.0002621966607430386,0.0003929836085750356
