state,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,30.0,59,Gamma,-6.246259853659064e-05,0.00015908318500594667,0.0021645963392374974,11780,3.502066341002519e-05,0.00029693043122363725,0.0001862739918085365
EC,30.5,60,Gamma,-6.422445702105574e-05,0.00013512835230967133,0.001745468537454412,11780,3.719523889132435e-05,0.00024394292277450135,0.0001573612161570589
EC,31.0,61,Gamma,-7.74867232015214e-05,0.0001394725161637554,0.0018925426878015422,11780,3.813032343132387e-05,0.00025207495253312375,0.00016231552594128806
EC,31.5,62,Gamma,-7.982079048465708e-05,0.00014985472520726213,0.0020468047643467527,11780,3.8515398844416336e-05,0.0002735650878326463,0.00017463398725379292
EC,32.0,63,Gamma,-0.00010754266375292543,0.00016030587955918416,0.0022906281548157876,11780,3.8749834496336864e-05,0.0002953681518512367,0.00018697330547791244
EC,32.5,64,Gamma,-7.834027720563017e-05,0.00014554212955084357,0.0018669899771466176,11780,4.063319784650782e-05,0.0002621076092223277,0.00016953626531413532
EC,33.0,65,Gamma,-4.633994845202006e-05,0.0001303162167313165,0.0016691982882969694,11780,4.0436737149462047e-05,0.0002301823051555992,0.00015135270099867488
EC,33.5,66,Gamma,-8.119484349989438e-05,0.00014717712384414798,0.002166814058968973,11780,4.085758600327386e-05,0.00026530994366734146,0.00017139721399140034
EC,34.0,67,Gamma,-0.00010597814142543215,0.00016231826139581073,0.0028120541194779896,11780,4.13963104354983e-05,0.0002966759846850468,0.00018936190012801133
EC,34.5,68,Gamma,-0.00010415504082236389,0.00015128913780364337,0.0024710604101107316,11780,4.1230404105833726e-05,0.00027357661969009854,0.00017624429871963905
EC,35.0,69,Gamma,-3.5441755213591094e-05,0.00013249603742921756,0.001756686469593838,11780,4.4338828482975936e-05,0.0002304484918139305,0.00015382991690065232
EC,35.5,70,Gamma,-9.232698474436317e-05,0.00015478441523135485,0.0025227780537597543,11780,4.4849802490591465e-05,0.0002769339849433142,0.00018020791497205663
EC,36.0,71,Gamma,-0.00011201641325404735,0.00016866740359988672,0.002997959657365517,11780,4.573959830375836e-05,0.00030525385392891826,0.00019679079513340236
EC,36.5,72,Gamma,-6.172940821518867e-05,0.00013125617840503104,0.0019199017196881495,11780,4.669001669365391e-05,0.00022521858030656114,0.00015194981535065127
EC,37.0,73,Gamma,-6.699310356299988e-05,0.00014462717092688496,0.0021748249934585673,11780,4.6823144578952755e-05,0.00025329831131347625,0.0001678526143964071
EC,37.5,74,Gamma,-9.076124618598713e-05,0.00015079953474695612,0.0023498433157238077,11780,4.659919168581659e-05,0.00026657769370377784,0.0001752435428283285
EC,38.0,75,Gamma,-7.783184344670322e-05,0.000147510251548623,0.0022820002430433335,11780,4.9005611496014024e-05,0.0002569598516070774,0.00017114383407191522
EC,38.5,76,Gamma,-6.92213638323793e-05,0.00012040715472707169,0.0015128080687379143,11780,5.001927939138056e-05,0.00019861590510006184,0.0001386615541767147
EC,39.0,77,Gamma,-7.373903200878207e-05,0.00012887653573278958,0.0017760245509211747,11780,4.822804939323519e-05,0.00021848596499896114,0.00014874527866767253
EC,39.5,78,Gamma,-7.766656435117094e-05,0.00013170614623625958,0.0021572778725913173,11780,4.472979687634443e-05,0.0002283465344139431,0.00015207989987823145
EC,40.0,79,Gamma,-6.1384065620943e-05,0.0001248839550907475,0.00174700260534018,11780,4.4446394304602886e-05,0.00021425902263090817,0.0001439745875225246
EC,40.5,80,Gamma,-7.548019909204309e-05,0.00014494001351535748,0.0022633041982857345,11780,4.4981630667628894e-05,0.00025600488334616704,0.00016776836997031355
EC,41.0,81,Gamma,-8.928620012141297e-05,0.00014254149937794824,0.0023127512540512232,11780,4.37655029907718e-05,0.00025229260647481095,0.00016482910032842617
EC,41.5,82,Gamma,-5.1184430471313384e-05,0.00011445151168269836,0.0015486052252572018,11780,4.3963479336355004e-05,0.0001927715476230799,0.00013141470089809848
EC,42.0,83,Gamma,-7.164707197800383e-05,0.0001315713788255043,0.0020688850093466514,11780,4.4350412434595035e-05,0.0002284835637042924,0.0001517983317798623
