state,edge_index,channel_i,channel_j,channel_i_index,channel_j_index,band,band_index,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution,network_group,interhemispheric
EC,690,F6,CP2,12,37,Beta Medium,4,-0.0009874270327863443,0.0015189750733066744,0.001996694357044515,190,0.001391004733522969,0.0016611643397330138,0.0017318540895134029,central|frontal,False
EC,405,F5,CB2,6,61,Beta Low,3,0.0005644096203181371,0.00151882472799016,0.0022747229409148684,190,0.0019130028322069399,0.0010808490566381818,0.0016242549417765323,central|frontal,True
EC,1051,FC4,P5,20,42,Beta Medium,4,-0.0005857592393388265,0.00151879606673299,0.0025068647806367837,190,0.0012187086764492542,0.001852226500381585,0.001593788732980519,frontal|parietal,True
EC,572,F2,FCZ,10,18,Beta Medium,4,-0.0005456273504166417,0.0015187115030896549,0.001953181693602809,190,0.0016430427664819107,0.0013805656548760376,0.0013931320246235157,frontal,False
EC,1037,FC4,C2,20,28,Beta High,5,-0.0001435508236969278,0.0015185391228250372,0.0016272931568747896,190,0.0014389885185664283,0.0016069286831123803,0.0015885145769530223,central|frontal,False
EC,182,AF3,F5,3,6,Beta Medium,4,-0.0006048584063041376,0.0015185281415979806,0.002059901418445435,190,0.002018507234597522,0.0009629958160429352,0.0016087783575422063,frontal,False
EC,830,FC5,CPZ,15,36,Beta High,5,0.0004755397577205614,0.0015184640116492267,0.001688358782609171,190,0.0018696029089732768,0.001128309681289171,0.001507863405923778,central|frontal,False
EC,1536,CP3,O1,34,58,Beta High,5,0.0003464367800203987,0.0015182863140729762,0.0016106545350098235,190,0.001376467916717232,0.0016758623111349136,0.0014898769909943432,central|occipital,False
EC,31,FP1,TP7,0,32,Beta High,5,0.000451877331533964,0.0015179788484912544,0.0015263473641374547,190,0.0013123614555342555,0.0017464426184434756,0.0015182170452603901,frontal|temporal,False
EC,324,F7,CP1,5,35,Beta High,5,0.0003490111468923461,0.001517866274374828,0.0014511651121467508,190,0.001627098071658063,0.0013964976107267888,0.0015831294853078512,central|frontal,False
EC,1645,CP6,P4,39,47,Beta Low,3,0.0008820033565601373,0.001517498286989054,0.002690707030728891,190,0.0008985149067097673,0.002205257598410484,0.0010075138067483374,central|parietal,False
EC,1451,T8,CB1,31,57,Beta Low,3,0.000736638839730633,0.0015173418928665042,0.002490081064886451,190,0.0008019765738071726,0.0023121922473768727,0.0011536340783655597,central|temporal,True
EC,1418,C6,PO4,30,54,Beta Medium,4,-0.0005338959746232421,0.0015170775885675308,0.002069026471929305,190,0.0014329081951654677,0.0016105991367920455,0.0016819369133337914,central|parietal,False
EC,1619,CP4,P3,38,43,Beta High,5,0.0004871594769802296,0.0015170183153713406,0.0016854288908389192,190,0.001556660494852574,0.0014729714492810809,0.001602359647445366,central|parietal,True
EC,261,AF4,C2,4,28,Beta Medium,4,-0.0008251608795573751,0.0015167546530667278,0.0021554726242466395,190,0.0013079209475108252,0.0017487921036843973,0.001760415272335878,central|frontal,False
EC,804,FT7,PO8,14,56,Beta Medium,4,-0.0008515622169397761,0.0015165388752010143,0.002015642567429748,190,0.0016525724171992423,0.0013653904952029827,0.0015628533121354988,frontal|parietal,True
EC,551,FZ,P6,9,48,Beta High,5,0.0004642838211446587,0.0015164984988682382,0.0017570465929934176,190,0.0012149631733336258,0.0018515377494622521,0.001641059272137551,frontal|parietal,False
EC,744,F8,P3,13,43,Beta High,5,0.0001785610790707952,0.0015164553553990289,0.001400165970470559,190,0.0019008657235667164,0.0010893327241015983,0.0015772396763290711,frontal|parietal,True
EC,1561,CP1,CB1,35,57,Beta High,5,0.000308027642017799,0.001515720554656489,0.001501364544565749,190,0.0015982647125928912,0.0014240048236160423,0.001679564727530269,central,False
EC,999,FC2,T8,19,31,Beta High,5,0.0004037361161456355,0.0015153417577278264,0.0014925708162525678,190,0.0013509348816023222,0.0016980160645339419,0.0016486879435947718,frontal|temporal,False
EC,168,FP2,PO7,2,50,Beta Medium,4,-0.0008851059157791467,0.0015151555221737266,0.0024470910223272652,190,0.0015545358794531244,0.0014713995696410628,0.0017100958606284537,frontal|parietal,True
EC,122,FP2,AF4,2,4,Beta Medium,4,-0.0007996736038661072,0.0015151346985595472,0.0020184462795558586,190,0.001719679493662577,0.0012878627040006255,0.0016463074065334751,frontal,False
EC,943,FC1,O2,17,60,Beta High,5,-0.0002648235199127564,0.0015151322917326003,0.0018381420268876456,190,0.0014379836437000853,0.001600853011768728,0.001501462414531929,frontal|occipital,True
EC,691,F6,CP4,12,38,Beta Medium,4,-0.0008634542209667938,0.001515017030928147,0.0024262055211305778,190,0.0011897002163186328,0.0018764801582720515,0.0017130141595313431,central|frontal,False
EC,218,AF3,P5,3,42,Beta Medium,4,-0.0007848663989486684,0.0015147927072240283,0.0017748616994646585,190,0.0017362399564262413,0.0012687402081104587,0.0015480076009288196,frontal|parietal,False
EC,661,F4,CB1,11,57,Beta High,5,-0.00027202902142324037,0.0015147690181612358,0.0019568568175138703,190,0.0009945995473207912,0.002092735096872841,0.0015717587666013648,central|frontal,True
EC,1765,PZ,PO8,45,56,Beta Low,3,0.0008910277105255004,0.0015145497808002576,0.0027541035975407486,190,0.00101729361750126,0.0020670566289102544,0.0008875922035444002,parietal,False
EC,1060,FC4,PO5,20,51,Beta Medium,4,-0.0007816510985908012,0.0015144020490508068,0.0021890989199065966,190,0.0011541765599804008,0.0019146525924623686,0.0016301471136082454,frontal|parietal,True
EC,664,F4,O2,11,60,Beta High,5,0.0004524859682102234,0.0015142793563043973,0.0015846378652763099,190,0.0018037228083994257,0.0011926755206432549,0.0014282745261490907,frontal|occipital,False
EC,595,F2,P7,10,41,Beta High,5,0.0003238180711425678,0.0015142021542774542,0.0016054848692070205,190,0.0013720947153341952,0.0016720993086588528,0.0015606516315517117,frontal|parietal,True
EC,1383,C4,PO7,29,50,Beta High,5,8.125861121889514e-05,0.0015141594168509645,0.0017262162645014058,190,0.0018020893530410337,0.0011942372655286656,0.0017312424444878927,central|parietal,True
EC,1264,C1,C6,26,30,Beta High,5,0.00027372261989320324,0.0015140475144538117,0.0016247248410446397,190,0.001637932272897113,0.0013763977828501433,0.0016064117727245203,central,True
EC,631,F4,CZ,11,27,Beta High,5,0.000511890632924092,0.0015139363696127952,0.0013634945308275766,190,0.001442307606225155,0.001593523884487951,0.0014650808412283846,central|frontal,False
EC,991,FC2,T7,19,23,Beta Medium,4,-0.0006268884953131308,0.0015138696917634002,0.0017090867253784464,190,0.00153550672770502,0.0014898285407171563,0.0016035487224486903,frontal|temporal,True
EC,1255,C3,PO8,25,56,Beta High,5,0.00026848295241937374,0.0015138597317217756,0.001540076238847193,190,0.0013743555021891996,0.001668864431202416,0.001678124092587396,central|parietal,True
EC,1299,CZ,T8,27,31,Beta Low,3,0.000564608670532906,0.001513777498836263,0.00201497695248172,190,0.0011541969383221887,0.0019133114549630124,0.0014745137903599056,central|temporal,False
EC,56,FP1,CB1,0,57,Beta Low,3,0.0009202114958306479,0.0015137515690854656,0.0021221184835284158,190,0.001568692569062434,0.0014527060135555007,0.0013628786070094417,central|frontal,False
EC,1842,PO5,O1,51,58,Beta High,5,0.00038958344828545307,0.0015136281284292485,0.0014131022054486586,190,0.001321931265774709,0.0017266246424898477,0.0015776380783081101,occipital|parietal,False
EC,1376,C4,P3,29,43,Beta Low,3,-0.000245424770587542,0.0015136163338841668,0.0016766706977898499,190,0.0007311666936424955,0.0023830048230415795,0.0013514443319751976,central|parietal,True
EC,1525,CP3,P4,34,47,Beta High,5,0.0005141494421734003,0.0015134688182067162,0.0014397619414607409,190,0.001398460008822394,0.001641256384189296,0.0015911517776034034,central|parietal,True
EC,1664,TP8,PZ,40,45,Beta Low,3,0.0007545129466674702,0.001513372011935309,0.002403409827105688,190,0.001328118106393914,0.0017192096847590819,0.0010977812007180036,parietal|temporal,False
EC,544,FZ,P7,9,41,Beta High,5,0.0002623018149470724,0.0015132233563139637,0.001837311410478947,190,0.001627551746496422,0.0013861918116667882,0.0015737536685024123,frontal|parietal,False
EC,69,FPZ,F2,1,10,Beta Medium,4,-0.0005660107312484075,0.001512994544817448,0.0019909396305455426,190,0.0015731736739689522,0.0014461288457602217,0.0015946279262772734,frontal,False
EC,654,F4,PO7,11,50,Beta Low,3,0.0005418851742097035,0.0015127762021478043,0.002171777539144586,190,0.0019388796384623222,0.0010393279395761175,0.0016211658686595938,frontal|parietal,True
EC,1207,C5,P1,24,44,Beta High,5,0.00021090892449520255,0.0015126518399866302,0.0016981486662549512,190,0.0017393095156512165,0.0012608099781370897,0.0015789488822388106,central|parietal,False
EC,1020,FC2,PO3,19,52,Beta High,5,9.263958340612687e-05,0.001512416925824641,0.0015475289195852747,190,0.0014342705439775699,0.001599246238988053,0.001700429935077798,frontal|parietal,True
EC,671,F6,FCZ,12,18,Beta High,5,0.0007173478685313137,0.0015120422555666292,0.001339997176027313,190,0.001231029489354067,0.0018242786624694761,0.0015388422449726233,frontal,False
EC,1630,CP4,PO4,38,54,Beta High,5,0.0008953402262876788,0.0015120209147597649,0.002039950475637668,190,0.0011299778992451604,0.0019365131542204367,0.0015964950266120393,central|parietal,False
EC,1571,CPZ,P5,36,42,Beta Low,3,9.928676093515837e-05,0.0015118421760194128,0.002214249755243234,190,0.0018874390597985822,0.0010945123051536694,0.0015590264756083114,central|parietal,False
EC,326,F7,CP2,5,37,Beta Medium,4,-0.0006395046491888844,0.0015114670864931632,0.0018321944555220802,190,0.0017555910541886505,0.0012402182334981771,0.0015804398405159597,central|frontal,True
EC,552,FZ,P8,9,49,Beta Low,3,0.0007901218218693729,0.0015114573535305346,0.002060601445844367,190,0.0017715189672429265,0.0012225000049612103,0.0015426486914335272,frontal|parietal,False
EC,154,FP2,CPZ,2,36,Beta High,5,0.0001062731460861812,0.0015113865681996286,0.0016922160478928285,190,0.0018669082774976733,0.0011163624467573565,0.0015979426588038853,central|frontal,False
EC,193,AF3,FC1,3,17,Beta High,5,0.0005474722056347611,0.0015112478426909392,0.0013358267652180953,190,0.0012216609326344064,0.0018330110760870868,0.001603399808279245,frontal,False
EC,600,F2,P2,10,46,Beta Medium,4,-0.0007153155964356556,0.001511216003085464,0.0022875032446910896,190,0.0013463254257294068,0.0016944277557033051,0.0016881623265339277,frontal|parietal,False
EC,600,F2,P2,10,46,Beta High,5,0.00028730248161176275,0.0015111339052006646,0.0016856655112826439,190,0.0010971749930831288,0.001971088251997927,0.001581280480188151,frontal|parietal,False
EC,248,AF4,FC5,4,15,Beta High,5,0.00043692149764814616,0.001510847142263151,0.0019162963915270925,190,0.0011449767257908658,0.001917369827232357,0.00167218187773024,frontal,True
EC,631,F4,CZ,11,27,Beta Low,3,-1.400116976390948e-05,0.001510817217336096,0.002211743157955408,190,0.0016828357186204402,0.0013196855492423804,0.0014805597751683757,central|frontal,False
EC,978,FCZ,PO3,18,52,Beta Low,3,0.0007318310588805778,0.0015106854365163098,0.001549498240543672,190,0.001092021489216631,0.0019758676001826194,0.001317531673897226,frontal|parietal,False
EC,1446,T8,PO3,31,52,Beta Low,3,0.0004861694221529567,0.0015105683042412274,0.0019126210436242188,190,0.001276906617185839,0.0017701924009694368,0.0012397805291681284,parietal|temporal,True
EC,1473,TP7,PO7,32,50,Beta High,5,0.0006991983019193495,0.001510489707410814,0.001258031117295215,190,0.0016852599881166958,0.001316300506626501,0.0016162750726239575,parietal|temporal,False
EC,1008,FC2,TP8,19,40,Beta Low,3,0.0006481601086890252,0.001510399189877323,0.002629672000693303,190,0.0009125742271515494,0.0021746491484615155,0.0010338746950140558,frontal|temporal,False
EC,657,F4,POZ,11,53,Beta Low,3,0.0004628450103753426,0.0015103086839644236,0.0027426205566334345,190,0.0020100933224648106,0.0009549924189639941,0.0015683693698594003,frontal|parietal,False
EC,1622,CP4,P2,38,46,Beta High,5,0.00016343784966105308,0.0015102810001065023,0.0019425864432653485,190,0.0010370043981583392,0.002036143891160017,0.001592991278703677,central|parietal,False
EC,882,FC3,P3,16,43,Beta Low,3,0.0005577617741903925,0.00151010183692502,0.0018193923732588997,190,0.0015058390206626909,0.0015148382994387187,0.0012765247343011826,frontal|parietal,False
EC,626,F4,FT8,11,22,Beta Medium,4,-0.0005333082804704131,0.0015100754067032245,0.001797429890449367,190,0.00101296028257703,0.0020624255446212185,0.0015945831991632739,frontal,False
EC,1837,PO5,POZ,51,53,Beta High,5,-5.206518087525403e-05,0.0015099612817926474,0.0017275936247608706,190,0.0013435440207403338,0.0016948693496285515,0.001559105137396168,parietal,False
EC,500,F1,P8,8,49,Beta High,5,0.0003515374305930034,0.0015099541146486694,0.0019916248274098702,190,0.0011310611714929612,0.0019309462737105675,0.0016191972960365201,frontal|parietal,True
EC,1646,CP6,P6,39,48,Beta Low,3,0.0008846194557339381,0.0015099263331464713,0.002237271433558035,190,0.0009683414538266786,0.002111687310168463,0.0011257788716525026,central|parietal,False
EC,1490,CP5,CP6,33,39,Beta High,5,9.06227989234023e-05,0.0015096275455442037,0.0016999503468715913,190,0.0008280670960447935,0.0022669169338768815,0.0015572021572248748,central,True
EC,666,F6,F8,12,13,Beta Low,3,0.0003627227203214482,0.0015094251287869184,0.0016754377727227663,190,0.001547819418157088,0.001466764807264508,0.0013215773775398705,frontal,False
EC,584,F2,C6,10,30,Beta Low,3,0.0007608445073652799,0.0015093691128149642,0.0019038938147557603,190,0.0007974520664697123,0.002300388053198578,0.0013253654500380838,central|frontal,False
EC,637,F4,CP5,11,33,Beta High,5,0.0001531789755445934,0.001509291572643871,0.0016510020079937109,190,0.0012162932820046525,0.0018348452289096693,0.0015360026842622188,central|frontal,True
EC,697,F6,P1,12,44,Beta Low,3,0.00029779795310404456,0.0015089261686840772,0.0019131180734481613,190,0.0012578513340576576,0.0017878982071578764,0.0012456526382803247,frontal|parietal,True
EC,1403,C6,CP6,30,39,Beta Medium,4,-0.00044661846552451485,0.0015089021782290959,0.0025444640811124178,190,0.0011027876390653105,0.001960140555077746,0.0017083582908880475,central,False
EC,542,FZ,CP6,9,39,Beta High,5,9.528986135567909e-05,0.0015082997113698374,0.0014094286894424412,190,0.0012677417146732784,0.0017755863743660139,0.0014958352367559795,central|frontal,False
EC,219,AF3,P3,3,43,Beta Medium,4,-0.0008038879525022422,0.001508234356386168,0.0013570918855402223,190,0.0015674569297061233,0.0014424314971417736,0.0014915217502474998,frontal|parietal,False
EC,535,FZ,TP7,9,32,Beta High,5,1.1600783890507302e-05,0.0015082270770730003,0.0017210995523851758,190,0.0011771577350736617,0.00187608190151671,0.0016096778784476513,frontal|temporal,False
