state,band,channel,node_importance,mean_signed_attribution
EC,Beta Medium,C1,0.001259585563752129,-0.00034339321664314754
EC,Beta Medium,FP1,0.001258857178245425,-0.0005026053124754649
EC,Beta Low,PO8,0.0012583487109783602,0.0006100267716620054
EC,Beta Low,FP2,0.0012561368158072865,0.0003324450572925905
EC,Beta Medium,C5,0.001255134669504201,-0.00038179585486106555
EC,Beta Low,C2,0.001251725699592083,0.0004034568736183516
EC,Beta Low,AF3,0.0012515661029457795,0.00043013937342930826
EC,Beta Low,F8,0.0012512343238487269,0.0003354573837491299
EC,Beta Medium,CP1,0.0012500741541858645,-0.0003120338760887872
EC,Beta Low,C5,0.0012495333803953636,0.0003872714265989082
EC,Beta Medium,T7,0.0012490506343270315,-0.000362059410305009
EC,Beta Medium,O1,0.0012480814929991286,-0.0004901871498793096
EC,Beta Medium,FCZ,0.001243362442610274,-0.0003807557135390521
EC,Beta Low,FC3,0.001239265398147652,0.0004028655909944554
EC,Beta Medium,PO8,0.0012385564513443398,-0.000519133871885484
EC,Beta Medium,OZ,0.001233883728750206,-0.00042756148965461495
EC,Beta Low,C3,0.0012254735823962143,0.0003436939516423469
EC,Beta Medium,F5,0.0012240803133893256,-0.0004375055835818403
EC,Beta Medium,P8,0.001222507917502983,-0.00040951829312173055
EC,Beta Medium,FC1,0.0012175543946208451,-0.0004296375839710614
EC,Beta Low,C1,0.0012165140351512464,0.0004064240581932182
EC,Beta Low,FT7,0.001211942721685132,0.00040773258707081715
EC,Beta Medium,FC3,0.0012043974155022377,-0.00047738241107773884
EC,Beta Medium,O2,0.0011778655688960147,-0.00038501181571192644
EC,Beta Medium,CB2,0.0011733894165367317,-0.0004178155543127387
EC,Beta Medium,F1,0.0011693499693454042,-0.00040933189243689655
EC,Beta Medium,T8,0.0011600006598478426,-0.0002789664562765004
EC,Beta Low,FC5,0.0011587017304321653,0.00034362167291376676
EC,Beta Medium,TP8,0.0011558910428112587,-0.00029989964540579224
EC,Alpha,POZ,0.0011360483305051915,2.204340446126381e-05
EC,Beta Medium,F3,0.0011318275063175558,-0.00040613723319755853
EC,Alpha,FC1,0.0011055526007449068,-0.00011287280661080561
EC,Theta,CP4,0.0010973764933714307,-0.00014445306202065059
EC,Alpha,PO6,0.0010972043922321774,-0.00028509935348772106
EC,Alpha,AF3,0.0010965650760625311,-7.83406372423253e-05
EC,Alpha,F1,0.0010956971451532632,-0.00016398321377700172
EC,Alpha,FZ,0.0010934291412213713,-0.00010936393398620205
EC,Alpha,PO4,0.0010841359659010763,-0.00018661044185143088
EC,Alpha,FCZ,0.001082388461219182,-7.545956901517925e-05
EC,Alpha,CB1,0.001077931582512637,-0.0002544714836068599
EC,Alpha,F3,0.0010756465855133496,-0.0001458724477080713
EC,Theta,F6,0.0010715295463107153,-0.000134587995414838
EC,Alpha,PO8,0.0010702953516310064,-0.00027349330091772003
EC,Alpha,F8,0.0010693255385832929,4.308934051549724e-05
EC,Alpha,P1,0.0010622640618577442,2.249393632470643e-05
EC,Alpha,FC2,0.0010617581304504114,-9.46798155044729e-06
EC,Alpha,PO5,0.0010596637946258902,-0.00014414897901799406
EC,Alpha,FP1,0.0010568043299914154,5.52776171314307e-05
EC,Alpha,PO7,0.001056079750836117,-9.807839585279686e-05
EC,Alpha,PZ,0.0010526789864238187,8.957468703556308e-05
EC,Alpha,FC3,0.0010451062022737649,-0.00014763947495045174
EC,Alpha,CP4,0.0010447713556784712,-0.00010865615993100397
EC,Alpha,P3,0.0010436663022789455,-2.1110234043718684e-05
