state,channel,channel_index,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,P2,46,28.5,56,Beta High,-0.00019140338561793752,0.0002164466876198335,0.002579499153392605,190,3.0180088514676155e-05,0.00042340957551445274,0.0002533720482329665
EC,CP6,39,30.0,59,Gamma,-0.00018642539121575187,0.00021639115643176259,0.0023763503379262765,190,3.298733458876414e-05,0.0004201731807017609,0.0002563344052281531
EC,P2,46,35.5,70,Gamma,-0.00019441424452081358,0.00021639025057974004,0.002530284871796639,190,3.054014004912834e-05,0.0004228903733915308,0.000246387754575721
EO,PO7,50,20.0,39,Beta Medium,3.391356768429668e-05,0.00021635437826732405,0.0002608514343197592,190,0.0002560827637216474,0.00017221172776252027,0.00021706844149909263
EC,TP8,40,19.5,38,Beta Medium,-0.0001933891026573719,0.00021633751775872344,0.0011158676047836082,190,2.021463411068476e-05,0.0004342518329232108,0.00025711121820267536
EC,TP8,40,13.5,26,Beta Low,-0.00018450814944592005,0.00021625109212815603,0.0011233774340517412,190,2.701239982496892e-05,0.00042651630579836395,0.0002555059161987518
EC,OZ,59,26.0,51,Beta High,-0.0001864088282658452,0.00021618047058880702,0.0025664445370628445,190,2.8219441853134985e-05,0.00042502605807288705,0.0002532422260492147
EC,C4,29,23.5,46,Beta High,-0.00018647336812416384,0.00021599994950778054,0.001745307105070103,190,9.376794762446464e-05,0.000351813284933687,0.000251670514058599
EO,C1,26,1.0,1,Delta,-2.507910588447927e-05,0.00021598822714428035,0.00023661188401880612,190,0.00024900725910352746,0.000179300413856228,0.00022897837732999604
EC,CP5,33,15.0,29,Beta Low,2.345400137882955e-05,0.00021587518670070728,0.001437130501982871,190,8.822886364034194e-05,0.00035770443454555766,0.00025289433990898874
EO,CP3,34,8.5,16,Alpha,5.869782342678264e-05,0.00021586984013128425,0.0002226121910795442,190,0.00022172395089907381,0.00020936527261151806,0.00022463032503421783
EO,FT8,22,4.5,8,Theta,-4.696242226944416e-05,0.00021568928739881045,0.0002792765069157478,190,0.0002469707914178475,0.0001809320607109916,0.00021856552364285127
EC,PO3,52,24.5,48,Beta High,-0.00018605604291391936,0.00021568820029136985,0.002417533057892508,190,3.382925225025299e-05,0.0004177536981148331,0.0002531373470196053
EC,P2,46,36.5,72,Gamma,-0.00019361015459980977,0.0002156876392638545,0.0024842470881047637,190,3.419005365884235e-05,0.00041735162326942354,0.00024508008955130903
EC,PO5,51,41.5,82,Gamma,-0.00017311337961410843,0.00021567071802664132,0.002403942339395327,190,4.200699942994467e-05,0.00040863040535630424,0.0002522017931224469
EC,C1,26,9.5,18,Alpha,0.00018167064446560427,0.0002156128211069276,0.0025956184909534568,190,2.5313736127469148e-05,0.0004270562488618814,0.00025350792041312347
EC,CP1,35,37.0,73,Gamma,-0.00019913386987545156,0.0002156108462260608,0.002447989914497941,190,1.8597312330567525e-05,0.0004345147727766088,0.0002544581677290659
EO,FT8,22,23.5,46,Beta High,1.305609145186736e-05,0.0002154737838316135,0.0002352686781409372,190,0.00025959365689683816,0.0001664517026480306,0.00023033108751608895
EC,C1,26,44.0,87,Gamma,-0.0002002425242170659,0.00021541154793997176,0.0023628021755553955,190,3.783959665572525e-05,0.000412713716033579,0.00025409494514771217
EC,F7,5,8.5,16,Alpha,0.00011061067533139989,0.0002153104487020528,0.002147786486236535,190,7.827637955216729e-05,0.000367570525535259,0.00025395708879583627
EC,CP2,37,32.5,64,Gamma,-0.0001944558925455938,0.00021528714930190465,0.0025933771943334283,190,2.128698724607568e-05,0.0004308428849194924,0.0002547726388307638
EC,P2,46,42.0,83,Gamma,-0.0001967790967346391,0.00021521946258293046,0.002537999719619249,190,2.5012067461068118e-05,0.0004265610127183331,0.00024377767263645785
EO,FT8,22,31.0,61,Gamma,3.8810102472843554e-05,0.00021511056291953555,0.00027186319642861286,190,0.00026632038058320916,0.00015821076551545383,0.0002130563748530854
EC,OZ,59,42.5,84,Gamma,-0.0001839153499605188,0.00021505830892314795,0.002519399990590436,190,2.883075596441244e-05,0.00042197781221063184,0.000251718389076996
EO,FT8,22,30.0,59,Gamma,1.901505125732905e-05,0.00021498376815367204,0.00026303218233705026,190,0.0002654280181536418,0.00015893460148703903,0.0002126879412281881
EC,AF4,4,9.5,18,Alpha,-0.0001972710031112436,0.00021494444270037097,0.0024489478246989844,190,2.6230823842535296e-05,0.0004246262414312995,0.0002530388446205822
EO,FT8,22,20.5,40,Beta Medium,-4.51323696570812e-06,0.0002147029094834384,0.00024778667752892527,190,0.0002661810702209886,0.00015750495310838265,0.0002285288221881985
EC,C3,25,40.5,80,Gamma,0.00017086236674718834,0.0002146678183125368,0.002405994576091867,190,2.6979053061261504e-05,0.0004232108908139538,0.00025173789564143773
EC,FZ,9,43.0,85,Gamma,-0.00018846256689516595,0.00021453101373257078,0.0025353272555445013,190,3.148286099029834e-05,0.0004179178501128735,0.000251479274982632
EC,PO5,51,43.0,85,Gamma,-0.0001684755158257365,0.00021443853379862903,0.002380291409990517,190,3.947739247405257e-05,0.00040883980193704735,0.0002511038893822255
EC,CP5,33,15.5,30,Beta Low,2.9068024362132686e-05,0.00021428542676915136,0.00150787947691752,190,9.091092352176661e-05,0.0003513682081551345,0.00025211843262720773
EC,CP4,38,40.0,79,Gamma,-0.00018641534534761907,0.00021386760313496872,0.0024390000710017854,190,2.9098333099147577e-05,0.00041916679206365886,0.00025338266812523425
EC,CP2,37,7.5,14,Theta,-0.00018243952633049387,0.00021361579751198617,0.0024240803783242035,190,4.0019009801564146e-05,0.0004065011171902328,0.0002516832704827131
EC,TP8,40,18.0,35,Beta Medium,-0.0001797472578929711,0.00021352125752376923,0.0010337577656601101,190,1.8819565541095515e-05,0.00042985647083785113,0.0002533674994851039
EC,T8,31,1.5,2,Delta,-0.0001930724516977858,0.00021351487663501194,0.002487651454489671,190,1.984095474546505e-05,0.00042870812317895296,0.000252505251063438
EC,FZ,9,28.5,56,Beta High,-0.00019653262324119327,0.0002134782515921803,0.002398620236159398,190,4.19132838885913e-05,0.000404105993485057,0.0002520248453555512
EC,FT7,14,10.5,20,Alpha,-0.00018497308697702764,0.00021342947892416235,0.001636021654006691,190,2.6753352043794306e-05,0.00042084739768012686,0.0002497083822407973
EC,P1,44,25.0,49,Beta High,-0.00019123809557003074,0.0002132610672075975,0.0023040024408306236,190,5.3936196540265155e-05,0.0003902887012824112,0.0002499637775669713
EC,CPZ,36,26.5,52,Beta High,-0.00019464988002864268,0.0002132506930046669,0.0024629242872530694,190,2.0544326648913263e-05,0.0004273688778443932,0.00025248483733103126
EC,FT8,22,32.5,64,Gamma,-0.0001633355995759001,0.00021283077096422934,0.002256836230236876,190,4.172049249855944e-05,0.0004029533025927515,0.0002514473690901169
EO,PO5,51,17.5,34,Beta Low,1.56083833916738e-05,0.00021281319729978142,0.00024950775388049204,190,0.00022249378856312857,0.00020205698478495122,0.00022343222611848705
EC,PO5,51,38.5,76,Gamma,-0.00016706728512959747,0.00021278064315378745,0.002371289876730192,190,4.2306906901798834e-05,0.0004021959056559971,0.0002487022056960262
EC,P2,46,26.0,51,Beta High,-0.00019096917567370308,0.00021267090731665422,0.002436833438880669,190,4.1048168709070176e-05,0.00040336283910285875,0.00024638830132955896
EC,F4,11,9.5,18,Alpha,0.00010540155368836485,0.0002126199820092669,0.002039701392722551,190,4.212530979861137e-05,0.000402058506687773,0.00024861407027495564
EC,PO5,51,23.0,45,Beta High,-0.00016916435593379735,0.00021241927152326317,0.002402181954200826,190,3.57876049071176e-05,0.0004086766788745361,0.00024946037997331406
EC,CP3,34,45.0,89,Gamma,-0.00017489595480100188,0.00021239427946094419,0.002343326024820074,190,4.4507337327772715e-05,0.0003989353262755791,0.00025195546865009166
EC,OZ,59,36.0,71,Gamma,-0.0001781465882737042,0.00021222728873795095,0.0024412566689652124,190,2.6461508965983908e-05,0.00041863371070680327,0.0002487729742615981
EC,CPZ,36,19.5,38,Beta Medium,-0.00018662617536030466,0.00021217350040438464,0.0024734869427608113,190,1.5486645027217637e-05,0.00043071445082345914,0.000251345612740385
EC,TP8,40,9.0,17,Alpha,7.838052855052447e-05,0.00021210651483178643,0.0018477673982371702,190,5.0828661312334024e-05,0.0003913041298534002,0.0002506800510383297
EC,F6,12,9.5,18,Alpha,-0.0001906861231193774,0.00021187947495884062,0.0023283939548758383,190,2.2828471089661515e-05,0.00042193614592459525,0.00025103952267081065
EC,TP8,40,27.5,54,Beta High,-0.0001873308893798456,0.00021184114065180286,0.001104032733552701,190,2.280417026120802e-05,0.00042188221886357494,0.00025117136578611327
EC,AF3,3,28.5,56,Beta High,-0.00018640950759402677,0.00021180253006672232,0.0025587585034892724,190,3.0124945823853162e-05,0.00041366651255879915,0.0002488259183599352
EC,F1,8,34.5,68,Gamma,-0.00019614587007916936,0.00021177189003058604,0.0025230384817614584,190,2.9080730533725106e-05,0.00041476206724932037,0.0002495481792231108
EC,T8,31,14.0,27,Beta Low,-0.00017203705321204796,0.00021115080999690205,0.002345364691477404,190,4.379745177757149e-05,0.00039709898579615827,0.000247699451555886
EC,PO7,50,32.5,64,Gamma,-0.0001833710045785349,0.00021110414335986642,0.0024999475504339464,190,3.309709899067003e-05,0.0004088897482145291,0.00024830662835294834
EC,FZ,9,38.5,76,Gamma,-0.0001703424940519961,0.0002110691887937462,0.00231550462889227,190,5.6328969088313685e-05,0.0003830027662442267,0.00024743697401179734
EC,FC6,21,9.0,17,Alpha,0.00012200220805078335,0.0002110180459783246,0.0021693024655757703,190,4.7733460279096547e-05,0.0003924453634219113,0.00024909929727679505
EC,TP8,40,22.0,43,Beta High,-0.0001568686826307393,0.0002109514584165438,0.001033418901719781,190,2.828031903169148e-05,0.00041391939106637975,0.0002502354736133999
EC,FC2,19,43.5,86,Gamma,-0.0001884701256609644,0.00021075768310992561,0.002356054362502274,190,2.6640481634003725e-05,0.0004153323514165054,0.000248528419750633
EC,CP4,38,17.0,33,Beta Low,-0.0001877465997748836,0.00021040440688271236,0.0022842125445112723,190,4.2471498794645514e-05,0.00039699652698056443,0.00024874438791078164
EC,PO3,52,20.5,40,Beta Medium,-0.0001767355940997483,0.00021034605280744302,0.0023077920855275524,190,2.363223770481701e-05,0.00041780584736591636,0.00024763925037181634
EO,PO5,51,0.5,0,Delta,-7.792013123218664e-05,0.00020976209918418178,0.0002670833298930317,190,0.00020627679408787396,0.0002136346604023016,0.0002106395703985344
EC,CP6,39,31.5,62,Gamma,-0.0001745367726138679,0.00020970812891375938,0.0022495026257081984,190,3.524207254654631e-05,0.0004035593026551073,0.00024851732579971226
EC,FCZ,18,28.0,55,Beta High,-0.00019202151613526117,0.00020957396070977305,0.0023774907079253597,190,4.535858822772864e-05,0.00039203548568982245,0.0002452024185451238
EC,F8,13,15.0,29,Beta Low,-0.0001436800922397459,0.00020953226593388685,0.002256978271264369,190,1.6993607828074427e-05,0.00042346410827367846,0.0002488015272655248
EC,TP8,40,12.0,23,Alpha,-0.00017511344400784448,0.00020943892154853109,0.0012328367167695714,190,2.210487084510896e-05,0.00041758786677455564,0.0002479731929476161
EC,C2,28,35.0,69,Gamma,0.00016223560072345323,0.0002094137735008814,0.0023777543318355774,190,2.33833007144162e-05,0.0004161142988191761,0.0002485696998001373
EC,P2,46,39.5,78,Gamma,-0.00018697399455201122,0.00020930819315856584,0.002442236809998462,190,2.8826710210441965e-05,0.0004098431742120368,0.000236932764560773
EC,CP4,38,34.0,67,Gamma,-0.00018214404996041324,0.00020899067155082216,0.002360134768795771,190,3.0179841971498795e-05,0.0004076693710834037,0.00024772949428445535
EC,FC3,16,15.0,29,Beta Low,9.842070204344234e-05,0.00020889008671632158,0.0018840710478816294,190,9.647798909601832e-05,0.0003337924174055474,0.0002448250418621494
EO,PO7,50,0.5,0,Delta,-7.498631290504895e-05,0.0002088598817336545,0.00026600813965119234,190,0.00020556477308101794,0.00021252111356991735,0.00020888105199137625
EC,FC3,16,30.5,60,Gamma,0.00016610069558982947,0.00020870681600528902,0.002379650357457243,190,2.792397451249741e-05,0.0004095766398861686,0.00024580808407348925
EC,PZ,45,17.5,34,Beta Low,-0.00018326060730040439,0.0002086058174552512,0.002497219370998151,190,2.5975741892085286e-05,0.0004115281236365467,0.0002453995433133857
EC,PO5,51,41.0,81,Gamma,-0.00016789216878902366,0.00020836798108204887,0.002275351863174619,190,4.146491508067661e-05,0.00039381583219468474,0.00024345918892301627
EC,CP6,39,34.0,67,Gamma,-0.00017565350231270104,0.00020809750812820772,0.0022876675104512648,190,3.496672923778533e-05,0.00040046504022867713,0.0002468317076295739
EC,C3,25,32.5,64,Gamma,0.00016754150212225827,0.00020779188459340764,0.002433218391647907,190,1.790264959885904e-05,0.00041877992347623936,0.0002448768051723228
EC,FT8,22,10.5,20,Alpha,-0.00016790323492911358,0.0002076494934943216,0.002358281189982223,190,2.1048143505309546e-05,0.0004149843268154461,0.00024400768422142032
EC,C6,30,43.5,86,Gamma,0.00018373590949967647,0.00020763640327797785,0.002471858751648622,190,3.1240315802017965e-05,0.00040363205602904443,0.0002425915269222149
EC,FC3,16,26.5,52,Beta High,9.849087963498603e-05,0.00020761987723930564,0.0018880895350514221,190,8.99133176344229e-05,0.0003384049434669532,0.00024153172970000147
EO,CP6,39,1.0,1,Delta,1.1675267891356043e-05,0.00020745944127847853,0.00022321911711946523,190,0.00024423670966595106,0.00016659580973684234,0.00021948589335563516
EC,C4,29,39.0,77,Gamma,-0.00018113849636021954,0.0002073804430214989,0.0017438769699300025,190,0.00010055785624693031,0.00032607220610435294,0.0002455950270063407
EO,FT8,22,2.0,3,Delta,7.472278778208999e-06,0.00020736825662673433,0.0002739700022269202,190,0.0002446518336597291,0.0001659420599234068,0.0002125789936311442
EC,OZ,59,24.5,48,Beta High,-0.0001799244281180037,0.0002073519478196121,0.0023993565048189116,190,2.8356749568822516e-05,0.0004062355014316006,0.00024158530121645399
EC,FT7,14,12.0,23,Alpha,-0.00018611738743756087,0.00020716848474507937,0.0021949903299469096,190,3.755595826791698e-05,0.000395626847497482,0.00024370000548519088
EC,C4,29,19.5,38,Beta Medium,-0.00018694381995683433,0.00020713610816454166,0.0019779256237038613,190,5.5369308165000155e-05,0.00037576588594181,0.00024499000466334826
EC,TP8,40,25.0,49,Beta High,-0.00018028921005013715,0.00020703233699934757,0.0011033344907549884,190,2.5028191746389394e-05,0.00040925916505818997,0.0002448891514268622
EC,PO3,52,42.5,84,Gamma,-0.0001731412254274355,0.00020697975419464173,0.0021963948497854342,190,4.161969476896101e-05,0.00039071315355650925,0.00024227827496919117
EO,F8,13,18.5,36,Beta Medium,9.232987675615927e-05,0.00020696360363040757,0.00021086084746324714,190,0.00024504937782690437,0.00016464607674541111,0.00020763567275118328
EC,FC3,16,19.5,38,Beta Medium,3.97249552145282e-05,0.00020685990949357777,0.0015436825253816427,190,0.0001433337648846992,0.000277444514614554,0.0002421693542109191
EC,P6,48,30.0,59,Gamma,0.00011700164157550742,0.00020672308723259427,0.0019312580024472856,190,5.763102652575088e-05,0.00037238093246242033,0.00024078855287048203
EC,PO5,51,15.5,30,Beta Low,-0.00017846746535491673,0.00020668298867182095,0.0022608743781504996,190,2.991547900269423e-05,0.00040309133274862835,0.00024142420701281605
EC,FCZ,18,24.5,48,Beta High,-0.0001901731746531556,0.0002065159368336661,0.002280700222142214,190,5.409781579639671e-05,0.0003758694046528543,0.00024035188559639865
EC,PZ,45,27.0,53,Beta High,-0.00017228213830750984,0.00020630783304324422,0.0024363908356406826,190,2.0946655612658786e-05,0.0004122646968550058,0.0002438716384690034
EC,CPZ,36,37.0,73,Gamma,-0.00018394291383649636,0.00020611850931137493,0.002402308527206244,190,2.1581089980617e-05,0.0004111600863455504,0.0002445205153508655
EC,PO7,50,9.5,18,Alpha,0.00015218416625484624,0.00020589520245971703,0.0023116714352731907,190,2.75336266068835e-05,0.00040407473118508756,0.00024268125043094835
EC,C1,26,26.5,52,Beta High,-0.0001910310327338156,0.0002058026656485003,0.0022399817097750094,190,5.592776522348218e-05,0.00037233033278740926,0.00024281393987258013
EC,CP4,38,14.0,27,Beta Low,-0.00017510464288169033,0.0002056954151730546,0.0019138778765857868,190,7.308918465041947e-05,0.00035303567130931583,0.00024041882423070994
EC,TP8,40,17.0,33,Beta Low,-0.00018598703079147693,0.0002056572457962703,0.0011131270351798794,190,2.084503609463143e-05,0.0004110041454647579,0.00024403698196761328
EC,C4,29,22.0,43,Beta High,-0.00017445647210979256,0.0002056490427693558,0.0016034938489203196,190,9.173639075211876e-05,0.0003322186561218414,0.00023934114745768388
EC,TP8,40,32.5,64,Gamma,-0.0001735236176743878,0.00020532893974630316,0.0010249791960181577,190,3.168348387617543e-05,0.0003982683351575562,0.00024313487907244179
EC,C1,26,38.0,75,Gamma,-0.00018904079147667068,0.0002053279423848139,0.0023048600856949357,190,2.4597837612192254e-05,0.00040613916990994903,0.00024304910853189908
EC,CPZ,36,42.0,83,Gamma,-0.00018200856048695424,0.00020527782775327412,0.002318434026973495,190,3.3907278643879494e-05,0.0003956895489859348,0.00024220856519188632
EO,CP3,34,0.5,0,Delta,-6.685237970164064e-05,0.00020502261215954418,0.00033825511134566303,190,0.00020586340113251493,0.0002040884021895767,0.00021289948956298136
